Day,Vista Banrep,FPCOFIXMK3M,FPCOFMKLN1Y,FPCOFMKLN2Y,FPCOFXMK1M,FPCOFXMK2M,FPCOFXMK3M1,FPCOFXMK3M2,FPCOFXMK3M3,FPCOVMKLN1Y,FPCOVMKLN2Y,FPCOBFIX10Y,FPCOCPFIX2Y,FPCOCPFIX5Y,FPCODTFB12M,FPCODTFB18M,FPCODTFB24M,FPCOIBR18M,FPCOIBRB12M,FPCOIBRB18M,FPCOIBRB24+,FPCOIBRB24M,FPCOIBRC12M,FPCOIBRR12M,FPCOIBRR18M,FPCOIPCB10+,FPCOIPCB10Y,FPCOIPCB2Y,FPCOIPCB5Y,FPCOIPCC10+,FPCOIPCC10Y,FPCOIPCC2Y,FPCOIPCC5Y,FPCOIPCR10+,FPCOIPCR10Y,FPCOIPCR2Y,FPCOIPCR5Y,COLTES CP,COLTES LP,COLTES,COLTES UVR,COLTES UVRCP,TRM,FPCOGVFX10Y,FPCOGVFIX2Y,FPCOGVFIX5Y,FPCOGVUVRLN,FPCOGFX10Y+,ICOLCAP,ACWI_COP,LEGATRUU_COP,INMOBILIARIO_COL,LEGATRUU_USD,SPX Index_COP,MXEF Index_COP,MXEA Index_COP
20140122,"135,4051435",100,"100,283438","100,3008271","92,33522819",100,"92,31793653","92,6659595","92,62383605",100,"100,4127007","100,307371","100,5269378","100,2715077","100,3750904","100,4732693","100,2735846","100,4871882","100,4132046","100,4737583","100,6389556","100,6522805","100,4055518","100,3757957","100,5846617","102,4235337","101,1055698","100,5229838","100,8308334","102,3728868","101,2835771","100,5320122","100,7796512","102,3442253","101,6814276","100,5881984","100,6255415","178,52","200,84","187,85",177,"67,23580899","1988,5","100,5845913","100,4068954","100,4422793","99,96648657","98,99175404","15050,5","3304369,99","905470,4348","15806,96367","455,3535","3668504,11","1941710,595","3824700,79"
20140123,"135,4170089",100,"100,2970832","100,3476991","92,34389174",100,"92,32656545","92,68229696","92,64027789",100,"100,4389547","100,3665928","100,6110604","100,8090992","100,4002143","100,5451874","100,3355486","100,5380645","100,4348914","100,5267674","100,6756195","100,67127","100,427722","100,4030588","100,6212567","101,9776495","101,0073754","100,603834","100,9435139","101,680035","101,1776263","100,6150272","100,9051553","101,4802969","101,5662907","100,6855408","100,7679395","178,45","200,68","187,75","175,65","67,21996771","1988,5","100,4310706","100,4213508","100,4099238","99,27224199","99,41495743",15000,"3281919,825","910414,4423","15810,49471","457,8398","3635892,71","1916874,23","3810681,86"
20140124,"135,4288753",100,"100,3088972","100,3404854","92,35255602",100,"92,33522819","92,67878329","92,63674177",100,"100,448306","100,3553256","100,6171699","100,9460441","100,4121209","100,5604897","100,3535216","100,5477056","100,441489","100,5359369","100,6532455","100,6892547","100,4346486","100,4123117","100,6338527","102,0096156","101,0143121","100,6171206","101,0436306","101,7126348","101,198458","100,6274534","100,9830567","101,5129157","101,6210499","100,6924382","100,8032548","178,37","199,74","187,28","175,18","67,20156915","1997,5","100,0746171","100,3911144","100,3412521","98,86870235","98,41492838",15000,"3232674,1","917243,4108","15814,02576","459,1957","3576104,275","1897425,25","3758316,23"
20140125,"135,4407427",100,"100,3200746","100,3529923","92,36123211",100,"92,34389174","92,67878329","92,63674177",100,"100,4629203","100,3774135","100,6322373","100,9664197","100,4246137","100,5750131","100,3684465","100,562934","100,4558646","100,5511845","100,6683187","100,7041286","100,4489824","100,4264846","100,6489465","102,0284501","101,032536","100,6321953","101,0614012","101,7313466","101,2166567","100,6425394","101,0007339","101,531548","101,6391355","100,7076091","100,8207041","178,37","199,74","187,28","175,18","67,20362881","1997,5","100,0954151","100,4038605","100,3597249","98,87879386","98,43578291",15000,"3232674,1","917243,4108","15902,3335","459,1957","3576104,275","1897425,25","3758316,23"
20140126,"135,4526112",100,"100,3312342","100,3654834","92,3699338",100,"92,35255602","92,67878329","92,63674177",100,"100,4775291","100,3995026","100,6472926","100,9867937","100,4370961","100,5895349","100,383371","100,578163","100,4702312","100,5664329","100,6833952","100,7190055","100,4633069","100,4406492","100,6640413","102,0472865","101,0507615","100,6472622","101,0791715","101,7500602","101,2348571","100,6576176","101,0184106","101,550182","101,6572228","100,7227729","100,8381529","178,37","199,74","187,28","175,18","67,20568847","1997,5","100,116214","100,416598","100,378196","98,88888308","98,45663928",14930,"3232674,1","917243,4108","15905,86342","459,1957","3576104,275","1897425,25","3758316,23"
20140127,"135,4644808",100,"100,3419962","100,3813375","92,37861136",100,"92,36123211","92,7141368","92,67232115",100,"100,5346694","100,4015932","100,6591007","100,9637146","100,4534548","100,6310945","100,4585413","100,6502242","100,5180935","100,6416837","100,7478207","100,7495272","100,5104653","100,4833819","100,7148588","102,0200055","101,0010236","100,6480456","101,0620047","101,7420186","101,1955576","100,6611209","100,9942002","101,5518196","101,6428833","100,7422505","100,7971279","178,46","200,15","187,51","175,34","67,23076363","1996,35","100,2186343","100,4423013","100,4108276","99,02208583","98,50631184",14700,"3203982,042","915896,8322","15909,39316","458,7857","3556617,306","1859879,514","3709677,46"
20140128,"135,4763513",100,"100,3521229","100,3913805","92,38729252",100,"92,3699338","92,72373902","92,68198471",100,"100,546503","100,3879315","100,62043","100,5091168","100,4743802","100,6599094","100,4942196","100,6906412","100,5316983","100,6840166","100,7953544","100,8031083","100,5240986","100,5004644","100,7424677","101,5519007","100,9984625","100,68071","101,1173972","101,4786068","101,1873183","100,693988","101,0474811","101,3927144","101,6281921","100,7764178","100,8336588","178,41","200,62","187,7","175,37","67,22003691","1995,48","100,3045216","100,4278187","100,3840104","99,02332445","98,89551653",14675,"3215416,698","915116,552","15911,86986","458,5947","3576897,9","1863957,913","3713408,69"
20140129,"135,4882229",100,"100,3640107","100,4153198","92,39598262",100,"92,37861136","92,71868649","92,6768999",100,"100,5730903","100,4105871","100,6482118","100,8843929","100,4789184","100,6916161","100,5884598","100,7184947","100,5557036","100,7114411","100,8356249","100,8492683","100,5478502","100,5237874","100,7736584","101,5643999","100,8931736","100,6892726","101,0930064","101,5363146","101,1010258","100,708554","101,0198746","101,4813564","101,5886037","100,8261986","100,8068461","177,97","199,32","186,87","174,96","67,10957635","2011,5","99,59030932","100,3971834","100,1330156","98,73584296","98,29587827",14624,"3225782,205","924324,6812","15915,42498","459,5201","3568803,3","1884111,705","3750823,94"
20140130,"135,5000956",100,"100,4042634","100,442845","92,40467353",100,"92,38729252","92,73158116","92,68987695",100,"100,6082579","100,169527","100,6903218","101,0499479","100,4867354","100,6928598","100,581233","100,7641529","100,5877266","100,7531325","100,7440409","101,0122644","100,5799109","100,5597937","100,841199","101,6009351","100,9014464","100,6934914","101,0977011","101,5891191","101,1142106","100,7065279","101,0291868","101,5452747","101,6173346","100,7872026","100,8273484","177,74","199,42","186,79","175,23","67,05281862","2011,5","99,72210735","100,3289697","99,99759605","98,91982945","98,2414777",14600,"3233405,79","921962,979","15918,95553","458,346","3609013,185","1883508,255","3715602,57"
20140131,"135,5119693",100,"100,4161717","100,4570333","92,41336525",100,"92,39598262","92,74595152","92,70433912","100,0123131","100,6260647","100,3681216","100,7111485","101,173681","100,5254747","100,7004004","100,576478","100,7946999","100,6175075","100,7764528","100,7895975","101,0032898","100,6077874","100,5755042","100,8640048","101,6974852","100,9857924","100,6936522","101,1043946","101,6742842","101,1856613","100,711965","101,029439","101,6221043","101,6559095","100,823404","100,8057628","176,94","197,64","185,55","174,62","66,80122463","2015,31","99,03217843","100,215584","99,43317781","98,47322317","97,45109229",14600,"3221392,423","924362,0362","15929,72493","458,6699","3592471,453","1887398,274","3703414,27"
